The sum: 1499950.000000
The list edges: 
6492 0 50.000000
825 6492 50.000000
131 825 50.000000
371 825 50.000000
291 371 50.000000
468 825 50.000000
1050 825 50.000000
1273 468 50.000000
566 1273 50.000000
396 566 50.000000
510 566 50.000000
732 1273 50.000000
781 510 50.000000
794 510 50.000000
478 794 50.000000
711 478 50.000000
586 711 50.000000
340 586 50.000000
653 586 50.000000
368 653 50.000000
5 368 50.000000
407 653 50.000000
625 407 50.000000
656 407 50.000000
709 656 50.000000
262 709 50.000000
269 709 50.000000
658 709 50.000000
673 658 50.000000
700 709 50.000000
233 700 50.000000
488 233 50.000000
588 488 50.000000
602 588 50.000000
734 700 50.000000
873 658 50.000000
317 873 50.000000
424 873 50.000000
571 424 50.000000
339 571 50.000000
573 571 50.000000
598 339 50.000000
69 598 50.000000
643 424 50.000000
698 598 50.000000
183 698 50.000000
372 698 50.000000
872 573 50.000000
874 653 50.000000
599 874 50.000000
158 599 50.000000
384 158 50.000000
885 602 50.000000
946 673 50.000000
968 873 50.000000
689 968 50.000000
223 689 50.000000
738 968 50.000000
245 738 50.000000
823 689 50.000000
234 823 50.000000
971 653 50.000000
60 971 50.000000
268 60 50.000000
1017 368 50.000000
1033 233 50.000000
147 1033 50.000000
514 147 50.000000
580 1033 50.000000
227 580 50.000000
637 1033 50.000000
662 514 50.000000
717 147 50.000000
1048 510 50.000000
79 1048 50.000000
1060 339 50.000000
845 1060 50.000000
635 845 50.000000
160 635 50.000000
440 160 50.000000
170 440 50.000000
485 440 50.000000
803 635 50.000000
222 803 50.000000
557 803 50.000000
890 557 50.000000
122 890 50.000000
606 122 50.000000
498 606 50.000000
948 845 50.000000
276 948 50.000000
398 948 50.000000
549 948 50.000000
966 549 50.000000
68 966 50.000000
798 68 50.000000
973 798 50.000000
1003 160 50.000000
461 1003 50.000000
33 461 50.000000
888 1003 50.000000
434 888 50.000000
14 434 50.000000
228 14 50.000000
181 228 50.000000
501 228 50.000000
221 501 50.000000
996 501 50.000000
1011 122 50.000000
1067 1060 50.000000
1080 1033 50.000000
871 1080 50.000000
101 871 50.000000
1081 717 50.000000
1094 461 50.000000
75 1094 50.000000
576 1094 50.000000
865 75 50.000000
990 865 50.000000
844 990 50.000000
539 844 50.000000
13 539 50.000000
260 13 50.000000
811 539 50.000000
828 811 50.000000
585 828 50.000000
678 828 50.000000
858 260 50.000000
864 539 50.000000
974 990 50.000000
900 974 50.000000
1037 865 50.000000
614 1037 50.000000
668 1037 50.000000
477 668 50.000000
50 477 50.000000
127 50 50.000000
403 50 50.000000
759 1037 50.000000
51 759 50.000000
463 759 50.000000
383 463 50.000000
350 383 50.000000
503 51 50.000000
166 503 50.000000
232 166 50.000000
264 503 50.000000
409 166 50.000000
41 409 50.000000
427 264 50.000000
347 427 50.000000
564 759 50.000000
596 564 50.000000
739 383 50.000000
43 739 50.000000
727 739 50.000000
779 409 50.000000
793 427 50.000000
799 403 50.000000
833 50 50.000000
847 727 50.000000
877 403 50.000000
